Results Table 1
;Width;Thickness
;(mm);(mm)
1;9,940;4,03

Raw Data
Time;Displacement;Force
(s);(mm);(kN)
2,0350;0,6724;0,6784
2,0400;0,6741;0,6800
2,0450;0,6757;0,6815
2,0500;0,6774;0,6831
2,0550;0,6791;0,6847
2,0600;0,6807;0,6862
2,0650;0,6824;0,6878
2,0700;0,6840;0,6894
2,0750;0,6856;0,6910
2,0800;0,6872;0,6925
2,0850;0,6889;0,6941
2,0900;0,6906;0,6957
2,0950;0,6923;0,6973
2,1000;0,6940;0,6988
2,1050;0,6956;0,7004
2,1100;0,6973;0,7019
2,1150;0,6990;0,7035
2,1200;0,7007;0,7050
2,1250;0,7024;0,7066
2,1300;0,7040;0,7081
2,1350;0,7057;0,7097
2,1400;0,7073;0,7113
2,1450;0,7090;0,7128
2,1500;0,7106;0,7144
2,1550;0,7123;0,7159
2,1600;0,7140;0,7175
2,1650;0,7156;0,7190
2,1700;0,7173;0,7206
2,1750;0,7189;0,7221
2,1800;0,7205;0,7236
2,1850;0,7222;0,7251
2,1900;0,7239;0,7267
2,1950;0,7256;0,7283
2,2000;0,7273;0,7299
2,2050;0,7290;0,7315
2,2100;0,7306;0,7331
2,2150;0,7323;0,7347
2,2200;0,7340;0,7363
2,2250;0,7357;0,7379
2,2300;0,7373;0,7394
2,2350;0,7390;0,7410
2,2400;0,7406;0,7426
2,2450;0,7422;0,7441
2,2500;0,7439;0,7457
2,2550;0,7456;0,7472
2,2600;0,7473;0,7487
2,2650;0,7489;0,7502
2,2700;0,7506;0,7518
2,2750;0,7522;0,7533
2,2800;0,7539;0,7548
2,2850;0,7556;0,7564
2,2900;0,7573;0,7579
2,2950;0,7590;0,7595
2,3000;0,7607;0,7611
2,3050;0,7623;0,7626
2,3100;0,7639;0,7642
2,3150;0,7656;0,7658
2,3200;0,7673;0,7674
2,3250;0,7690;0,7689
2,3300;0,7706;0,7705
2,3350;0,7723;0,7720
2,3400;0,7739;0,7736
2,3450;0,7756;0,7751
2,3500;0,7773;0,7766
2,3550;0,7790;0,7781
2,3600;0,7807;0,7796
2,3650;0,7824;0,7812
2,3700;0,7840;0,7827
2,3750;0,7856;0,7842
2,3800;0,7873;0,7858
2,3850;0,7890;0,7874
2,3900;0,7907;0,7889
